program_code,program_name,catalog_id,course_title,credits,prereqs,coreqs,fees,attributes,description
AS,American Studies,ASSO 0469,Women: Work and Sport,3 Credits,,,,,"Gender stratification exists in most areas of everyday life throughout American society. This course concentrates on the varying experiences (based on class, race, and ethnic differences) of women in the workplace and on the playing field. Sex segregation and sex integration as complex historical and contemporary processes constitute the main focus of the first part of the course. Within this context, economic and social changes will be viewed as historically having an enormous impact on the roles of women in the work force and how they have managed these roles. In turn, their experiences will be analyzed as catalysts of societal change. The last part of the course focuses on women as athletes. Their varied experiences in this world parallel to a large extent their experiences within the workplace. The underlying theme is that the sports arena mirrors the larger society particularly in terms of gender roles. What is seen as ""acceptable and non-acceptable"" behavior for women in the everyday world is reflected in their roles as athletes. The impact of gender on socializing children into sport and sport itself as a socializing agency is the foundation for critically assessing the outcomes of Title IX and the existence of homophobia in sport."
AS,American Studies,ASTA 0420,American Drama and Society,3 Credits,,,,,"This course explores the social, political, and economic forces that have shaped the United States via the themes and perspectives expressed in its drama. The course covers the late 18th century through the present, paying particular attention to dramas and more populist forms of entertainment that specifically address the notion and development of a distinctly American voice and ideology. Students begin with Royall Tyler's 1787 comedy, The Contrast, which offers the first wholly American character - Jonathan the ""true-blue"" Yankee - and end with Tony Kushner's monumental two-part drama, Angels in America (1991), which juxtaposes American Judaism and Mormonism within the context of politics, homo- and heterosexual relationships, and the AIDS epidemic. In between, students consider the work of seminal American dramatists (O'Neill, Miller, Williams, and others) as well as trends in popular theatre forms (minstrelsy, wild west shows, vaudeville, burlesque, musical comedy) in creating the totality of the American cultural experience."
AS,American Studies,ASTA 0421,Ethnic American Performance and Society,3 Credits,,,,,"The course will explore the social, political, economic, and cultural forces that have shaped the United States via the themes, perspectives, and production choices expressed in its ethnic drama and performance. We will consider plays and performance pieces (such as pow-wows, Chinese New Year celebrations, and the like) created by African-Americans, Asian-Americans, Latino/a Americans, and Native Americans, all of whom have been marginalized voices existing outside of mainstream theatre, an arena historically dominated by white males. We shall pay particular attention to issues of race, gender, and class apparent in both the play texts as well as in the ideological perspectives of the playwrights. We also will note the choice of subjects, themes, and environments and consider how these are placed within the larger context of American culture and society."
IT,Italian,IT 0110,Elementary Italian I,3 Credits,,,,,"Designed for students with no prior experience with Italian or whose placement scores are in the range for this course level. This course, the first in a two-semester sequence, teaches the essentials of pronunciation, structure, and usage, allowing students to acquire the skills of listening, speaking, reading, and writing. The culture of Italy is explored through a variety of media. Students attend three classes per week and do mandatory online work determined by the instructor."
IL,International Studies,IL 0050,"People, Places, and Global Issues",3 Credits,,,,"BUEL Business Elective, PJST Peace and Justice Studies, WDIV World Diversity","This course introduces students to some of the fundamental concepts of International Studies. Major world regions and selected countries within them are discussed with respect to the people, and their physical, demographic, cultural, political, and economic characteristics. Several concepts and global issues are explored, among which the physical environment, conflict, inequality, global interconnectedness, and the movement of goods and people across borders are central. This course will emphasize contemporary events, particularly as they relate to the fundamental themes covered."
WS,"Women, Gender, and Sexuality Studies",WS 0299,Internship,3 Credits,,,,"WSGF Women, Gender, and Sexuality Studies: Gender Focused","The internship program allows students to gain on-site experience that can be related to the discipline of Women, Gender and Sexuality Studies. Internship areas include health, publishing, communications, politics, and many other fields. Students consult the program director for a list of internship opportunities before registering for this course. Faculty supervision helps students integrate their experiences with the intellectual foundation acquired in their academic courses."
WS,"Women, Gender, and Sexuality Studies",WS 0301,"Women, Gender, and Sexuality Studies Capstone Seminar",3 Credits,,,,"PJST Peace and Justice Studies, WSGF Women, Gender, and Sexuality Studies: Gender Focused","Students take this final course in the minor sequence in the senior year after completing the other five required courses. The course integrates feminist approaches across the disciplines, emphasizing the relationship between theory and practice. It is open to seniors only; juniors may enroll with the permission of the program director."
WS,"Women, Gender, and Sexuality Studies",WS 0399,Independent Study,1-3 Credits,,,,"WSGF Women, Gender, and Sexuality Studies: Gender Focused","By arrangement with Women, Gender, and Sexuality Studies faculty, students may choose to work independently on special topics. See the program director for details."
AC,Accounting,AC 0012,Introduction to Management Accounting,3 Credits,AC 0011.,,,,"This course introduces students to managerial accounting and the role of accounting information in managerial decision-making. Topics include a description of basic cost elements; the interrelationship between fixed costs, variable costs, and profit; and methods of accumulating the costs associated with producing products and providing services (e.g., activity-based costing), so that students can make recommendations about performance evaluation, project evaluation and other management decisions."
AC,Accounting,AC 0203,Intermediate Accounting I,3 Credits,AC 0011.,,,,"This course provides an in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP). The course emphasizes balance sheet valuations and their relationship to income measurement and determination."
AC,Accounting,AC 0204,Intermediate Accounting II,3 Credits,AC 0203.,,,,"This course continues the in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP) begun in "
AE,Applied Ethics,AE 0285,Ethics of Health Care,3 Credits,One course in Philosophy or Religious Studies.,,,"HSTE Health Studies: Traditions, Delivery, and Ethics","This course considers the moral dilemmas of the healthcare setting. Topics include patients' rights (medical paternalism and patient autonomy, informed consent to therapy, and participation in research); dilemmas of reproduction (technological assistance, abortion, cloning); dilemmas of life and death (assisted suicide, euthanasia, technological interventions for the dying); allocation of healthcare resources; and the special dilemmas of healthcare professionals caught in binds between HMO contracts and professional obligations."
AE,Applied Ethics,AE 0286,Ethics of Research and Technology,3 Credits,One course in Philosophy or Religious Studies.,,,,"This course explores the moral dilemmas that attend the search for an application of scientific knowledge. Topics include the methods of science and their limits (e.g., in research with human subjects); scientific fraud, its dimensions and prevention; and the effects of rapidly expanding fields of technology on medicine and industry."
AE,Applied Ethics,AE 0287,Engineering Ethics,3 Credits,One course in Philosophy or Religious Studies.,,,,"This course systematically explores the ethical dimensions of situations and tasks common to engineering practice. Issues include professionalism, codes of ethics, consumer risk and safety, employee loyalty and whistle-blowing, research and ownership of information, and the engineer's responsibility to the natural environment."
AE,Applied Ethics,AE 0288,Ethical Dimensions of Global Humanitarian Policy,3 Credits,One course in Philosophy or Religious Studies.,,,WDIV World Diversity,"This course surveys the ethical dilemmas that arise in the context of global need and global opportunity, specifically the needs of physical, psychological, and spiritual sustenance and support created in the developing world by many kinds of violence, exploitation, and environmental crises, and the opportunities perceived in the developed world to provide assistance through international, governmental, and non-governmental avenues. Topics include the ethical analyses of emerging crises and assessments of needs; the typical structures of assistance, public and private, and the consequences (intended or otherwise) of deploying them; and the dilemmas of seeking and assessing help from donors of uncertain motives and histories."
AE,Applied Ethics,AE 0289,Global Health Care Ethics,3 Credits,One course in Philosophy or Religious Studies.,,,"HSTE Health Studies: Traditions, Delivery, and Ethics, WDIV World Diversity","This survey of issues of public health on a global scale explores the ethical and economic dilemmas of environmental degradation, national sovereignty, individual liberty, and human happiness and productivity as they arise in the increasing interaction of developed and developing nations. The course studies conditions prevalent in developing nations - poverty, hunger, the absence of physical and social infrastructure, and uneven education, as well as the role of gender and race discrimination - and examines ethical dilemmas confronted in the efforts to deal with health conditions in the developing nations, through case studies and group discussion; term projects focus on selected regions and health conditions."
AH,Art History,AH 0191,"Art and Mythologies of Nazi Germany, Fascist Italy, Bolshevik Russia: Comparative Systems & Outcomes",3 Credits,,,,"GDAH Graphic Design: Art History, GMEL German Major or Minor Course, GMEN German Course Taught in English, ISIC Italian Studies: Italy Component, JST Judaic Studies Minor, VPCH Visual and Performing Arts Core: History Course","This interdisciplinary approach to the visual Zeitgeist of these major political/national crises in Europe between 1917 and 1945 surveys the visual rhetoric of Nazi Germany, Fascist Italy, and Bolshevik Russia through the widest possible definition of the visual arts. The course includes the traditional fine arts of painting, sculpture, and architecture as well as the mass cultural outlets of film, radio, propaganda posters, and the staging of public events. The class eliminates the distinctions between high and utilitarian mediums of expression; all means of persuasion are fair game. This course allows students to better understand the complexities of these political/nationalist issues; the ""window"" is the lens provided by the visual arts and mass media. In doing so, students recognize how the symbolic languages of mythology were married to political ideologies and shaped public opinion from the national consciousness."
AH,Art History,AH 0192,"The History, Theory, and Practice of Museums",3 Credits,,,,VPCH Visual and Performing Arts Core: History Course,"This course focuses on the history and theory of museums, their operations and roles in society and the practical application of museum theory. Students will put the rapidly evolving field of museum studies into a meaningful context while simultaneously gaining a clearer understanding of contemporary industry standards and modes of best professional practice."
AH,Art History,AH 0193,"Inside Museums and Galleries: Taste, Place, Public Space",3 Credits,,,,VPCH Visual and Performing Arts Core: History Course,"This course explores the interactive role of the curator and the museum and gallery visitor in the dynamic cultural spaces of museums, galleries, and public historic spaces, parks, monuments, etc. We explore the responsibilities, ethics, and educational goals for the professional staff of not-for-profit museums in terms of serving the common good of the general public. If museums are ""temples of culture,"" then we need to understand the ways these public ""faiths"" act while open and engaging for all. In contrast, we highlight the similarities and differences when artworks or collectible objects are placed into a commercialized, for profit-gallery/auction house context. This is an introductory course, welcoming students ready to experience and learn about the rich spectrum of museums, galleries, auction houses, and cultural institutions within the Tri-State area. Field trips include visits with top professionals who share their expertise and experiences."
AH,Art History,AH 0195,Introduction to Museum Studies,3 Credits,,,,,"This course explores the role of the museum and gallery curator as well as the curator's responsibilities to the object, the museum, and collectors; and federal and corporate funding. The course includes field trips."
AH,Art History,AH 0209,The Historic Plaster Cast Collection at Fairfield University,3 Credits,One 100-level or lower art history course.,,,,"Students will study the history of plaster cast collections in Europe and the U.S. including Fairfield's growing collection. Emphasis will be given to the Fairfield collection by conducting research on the plaster casts. Students will assist with museum and website information. Students will clean and apply light restoration to plaster casts in preparation for their display in different areas on campus. Class visits to the Slater Museum, the Institute for Classical Architecture, and the Metropolitan Museum of Art will be scheduled. Consultation with curators and sculptors will provide additional guidance to students."
BI,Biology,BI 0015,Fundamentals of Biology I,3 Credits,,,,,"This course, an introductory study of biology for the non-science major, familiarizes students with the general biological principles that govern the activities of all living systems. Concepts include the biochemical origin of life, cellular morphology and physiology, and human genetics. Note: This course counts as a natural science core but does not satisfy requirements for the biology major or minor."
IT,Italian,IT 0111,Elementary Italian II,3 Credits,IT 0110.,,,,"This course, a continuation of "
IT,Italian,IT 0210,Intermediate Italian I,3 Credits,IT 0111.,,,,"This course, the first in a two-semester sequence, prepares students to continue the study of language on a more advanced level, and includes review of essential points of grammar, vocabulary building, and regular practice in speaking and writing. Italian culture is explored through a wide variety of materials including literary texts, press articles, and films. Students attend three classes per week and do mandatory online work determined by the instructor."
IT,Italian,IT 0211,Intermediate Italian II,3 Credits,IT 0210.,,,ISIT Italian Studies: Italian,"This course, a continuation of "
IL,International Studies,IL 0051,International Relations: Theories and Challenges,3 Credits,,,,"HACA Humanitarian Action Minor Context Course, PJST Peace and Justice Studies, PMIR Politics Major: International Relations","This course introduces International Relations (IR) theories to students, providing concepts, frameworks and approaches that will help them make sense of global politics historically and today in a systematic and critical manner. The goal of the course is to familiarize students with these tools and to help them use them to understand and address challenges at a global scale, particularly different manifestations of violence, development and social injustice, including from war to economic, social, gendered, and political marginalization."
IL,International Studies,IL 0052,Culture and Political Economy,3 Credits,,,,,"This course examines the ways in which global political economic dynamics impact local cultures. Students will begin with classic texts in social theory, examine how this theory informs contemporary debates, and look to small-scale societies in the Global South for an intimate, ethnographic perspective of our global era."
IL,International Studies,IL 0053,Introduction to Economics,3 Credits,,,,,"This course introduces the fundamentals of economic analysis from individual consumer behavior to the choices firms make, as well as framing the aggregate economy and indicators that measure global economic activity. It will cover the basics of both micro and macro economic study. Supply and demand, market structures, international trade, fiscal, and monetary policy are introduced. Students may petition for this course to also count toward a major or minor in economics."
IL,International Studies,IL 0150,International Operations of Non-Profits,3 Credits,,,,"BUEL Business Elective, HASM Humanitarian Action Minor Skills/Method Course, WDIV World Diversity","This course introduces students to the environment of international not-for-profit organizations. The course examines the relationships between non-profits and the private and public sectors. Accountability is discussed in terms of short-term financial efficiencies and long-term program quality assessment. Course objectives include understanding internal and external environments in which non-profits operate; the relationship between non-profits with the public and private sectors; acquiring skills for accounting and financial information in the non-profit sector; understanding roles, performance and accountability issues of nongovernmental organizations in international development assistance; and developing case study analyses."
IL,International Studies,IL 0151,"Gender, War, Peace",3 Credits,,,,"PMIR Politics Major: International Relations, WDIV World Diversity, WSGF Women, Gender, and Sexuality Studies: Gender Focused","This course examines the complexities and gendered impact of war on children, family and other social actors, drawing on a wide range of theories, concepts and case studies on violence, conflict escalation and peacebuilding. Part I examines the multifaceted forces of globalization, structural violence and gender based violence (GBV) that set up the gendered dynamics of war. Part II draws from this framework to understand the fluid contexts of gender and violence in war, including sexual violence. It looks at how people try to remain safe from armed conflict and marauding bands of rebels or soldiers, and the difficulties of sorting victim from perpetrator. Part III examines theories of social justice in the aftermath of war, and policies that can lead to improved security, safety, health, rehabilitation and reconstruction. Course requirements include exams and a research paper on the theory and policy implications of gender in war and its aftermath."
AC,Accounting,AC 0265,Accounting Information Systems,3 Credits,AC 0012.,,,,"This course analyzes the methods used to capture, process, and communicate accounting information in a modern business enterprise. Students learn to document business transaction cycles using data-flow diagrams and flowcharts. They analyze the accounting information system, identify weaknesses, and recommend improvements to internal control. Students process accounting information through a modern database management application program such as a general ledger package or an enterprise resource planning system."
AC,Accounting,AC 0310,Advanced Accounting,3 Credits,AC 0204; junior or senior standing.,,,,"This course focuses on accounting for various financial investments, including financial instruments, derivatives, and business combinations. Students also study the role of financial instruments in hedging foreign currency exposures and the complications encountered in financial reporting in a global environment."
AC,Accounting,AC 0320,Cost Management,3 Credits,"AC 0012, AC 0203, junior or senior standing.",,,,"This course focuses on the proactive management of costs and the effect of costs on managers' decision-making, planning, and control. Students learn to accumulate costs and assign them to products and services using several different techniques such as activity-based costing. Other topics include profit planning and resource allocation through the budgeting process; the evaluations of organizational performance in cost, profit, and investment centers; and the importance of cost in the strategic management of the organization."
AC,Accounting,AC 0320L,Cost Management Lab,1 Credit,,AC 0320.,,,"In this lab, students practice applying cost accounting concepts. Activities include using computer applications (e.g., Excel) to solve and present solutions to cost management problems. Note: This optional lab is not required, but highly recommended."
AC,Accounting,AC 0330,Auditing,3 Credits,AC 0204; junior or senior standing.,,,,"This course introduces the audit of financial statements by independent CPAs. It bridges the gap between knowledge of accounting principles and the professional practice of accounting and auditing in the working world. Students learn about the role of auditing in society and the professional standards for behavioral and technical competence. They also study the factors entering into judgments about audit risk and the fair presentation of financial statement assertions. The course presents programs and procedures for defining audit objectives, gathering evidence, making decisions, and exercising professional skepticism."
AE,Applied Ethics,AE 0290,Ethics in America: Telecourse,3 Credits,One course in Philosophy or Religious Studies.,,,,"This course is a survey of practical ethics, in which televised discussions of selected topics in applied ethics (ethics in government, ethics in the military, medical ethics, business ethics, etc.) illustrate the basic concepts of the Western tradition in ethical reasoning (autonomy, justice, privacy, community, etc.). The discussions feature influential public figures in each field; readings include important writings in the history of ethics. Format: lecture/discussion with in-class video presentations."
AE,Applied Ethics,AE 0291,Business Ethics,3 Credits,One course in Philosophy or Religious Studies.,,,,"This course investigates ethical problems in business practice. Topics include the foundation of the free-market system, personal morality in profit-oriented enterprises; codes of ethics, obligations to employees and other stakeholders; truth in advertising, whistle-blowing, and company loyalty; self and government regulation; the logic and future of capitalism; and the changing responsibilities of the manager in a rapidly globalizing business environment."
AE,Applied Ethics,AE 0293,Ethics of War and Peace,3 Credits,One course in Philosophy or Religious Studies.,,,PJST Peace and Justice Studies,"This is a survey of issues relating to war and international conflict. Topics include Just War theory, human rights issues, the impact of war on women, the role of the United Nations Security Council, and the history of global attempts to proscribe and prevent aggression. The course also looks at related issues that have emerged in recent years, such as humanitarian intervention and economic sanctions."
AH,Art History,AH 0210,Myth in Classical Art,3 Credits,One 100-level or lower art history course or permission of the instructor.,,,VPCH Visual and Performing Arts Core: History Course,"Greek and Roman art serve as a rich depository of Greek mythology with a wide range of representations that evolved across the centuries. As a source of information, classical art sometimes preserves myths that are otherwise unknown in the surviving literature. In some cases visual representations date earlier than an extant literary description or differ in the story details. This course focuses on ancient sources - visual and literary - to study the Olympian gods; the heroes, Perseus, Herakles, Theseus, and Odysseus; the Trojan War; and battles such as the gods and giants, Lapiths and Centaurs, and Amazons and Greeks. The course compares the appearance of certain of these myths on specific monuments during certain periods in the classical world, emphasizing examples in the Metropolitan Museum of Art, the Yale University Art Gallery, and the Historic Plaster Cast Collection at Fairfield."
AH,Art History,AH 0221,"The Arts of Ireland and the British Isles, 500-1000",3 Credits,One 100-level or lower art history course or permission of the instructor.,,,"CAOT Catholic Studies: Non-Religious Studies, VPCH Visual and Performing Arts Core: History Course","This course explores the art and architecture produced in Ireland, England, and Scotland during the early medieval period, often called the ""Golden Age of Insular Art."" It was an era of rich cultural exchange during which Irish and continental monks were instrumental in the spread of Christianity throughout the British Isles; Irish settled in Scotland; the Anglo-Saxon kingdom was established in England; and Vikings invaded Ireland and Britain. Arts in all media combined pre-Christian Celtic and Germanic traditions with new Christian forms. Irish monasteries throughout the British Isles were centers of production for sumptuous manuscripts such as the Book of Kells and liturgical vessels including the Ardagh Chalice. Monastic architecture and high crosses will also be considered, as well as secular objects such as aristocratic jewelry."
AH,Art History,AH 0222,Byzantine Art,3 Credits,One 100-level or lower art history course or permission of the instructor.,,,"CAOT Catholic Studies: Non-Religious Studies, VPCH Visual and Performing Arts Core: History Course","This course focuses on the art of the medieval Byzantine Empire, a period of strong imperial patronage that saw the rise of Christianity and its associated new forms of art and architecture. The course is organized chronologically, from Byzantine art's late antique Pagan Roman, Early Christian, and Jewish sources to its relationship to Islamic art and its later impact on the development of the arts of Western Europe and Russia. The major themes of the course are: the relationship of belief and ritual to religious imagery and architecture; cultural exchange and influence on art forms and iconography; and the impact of imperial patronage on art and architecture. These themes will also be related to the art of other places and times, including our own. We will explore continuity and change in the content and style of Byzantine Art over time, while constantly being aware of the relationship between art and society."
AH,Art History,AH 0290,Special Topics in Art History,3 Credits,One 100-level or lower art history course or permission of the instructor.,,,VPCH Visual and Performing Arts Core: History Course,Students conduct an in-depth study of a specific subject in the history of art.
AH,Art History,AH 0292,"Museums, Art, Ethics, and the Law",3 Credits,One 100-level or lower art history course or permission of the instructor.,,,VPCH Visual and Performing Arts Core: History Course,"This course examines the complex legal and ethical issues surrounding the conception, creation, communication, display, reproduction, ownership, transfer, and protection of works of art. The first unit is devoted to defining ""art"" and discussing artists' rights. The legal and ethical constraints affecting museums, collectors and the art market generally will be covered in the second unit, while the third unit will grapple with the problematic area of cultural property (with particular emphasis on looting, plunder, identity, trade, reparation, restitution and restitution). In each of these three segments, we shall read and discuss relevant case law, as well as a number of commentaries authored by leading experts in the field."
IN,Interior Design,IN 0107,Color Design,3 Credits,IN 0119.,,,,"Students develop proficiency in discerning basic color differences and visualizing color application. Students learn color mixing and identification, color scheme planning, pattern and scale."
TA,Theatre,TA 0011,Introduction to Theatre,3 Credits,,,,VPCH Visual and Performing Arts Core: History Course,"When we can download any movie we want to our computer and watch it from the comfort of the residence hall, why do live theatre? Why see live theatre? Does live theatre have anything to offer that movies and TV cannot? Is it worth doing or seeing? Actually, the act of witnessing live theatre challenges us to think more deeply, more critically, and more thoughtfully about our society and ourselves. Theatre can change the world. This course is about understanding why we need theatre in our lives, and becoming more active, more engaged, more attentive audience members."
BI,Biology,BI 0016,Fundamentals of Biology II,3 Credits,,,,,"Students examine biological systems, such as the human organism, in detail, with an emphasis on pathophysiology, diversity of life, and evolution. Emphasis varies by instructor. Note: This course counts as a natural science core but does not satisfy requirements for the biology major or minor."
BI,Biology,BI 0018,Human Biology: Form and Function,3 Credits,,,,"EDCG Educational Studies Cognate, HSST Health Studies: Science and Technology","This course, which provides a basic introduction to human anatomy and physiology, examines the major organ systems of the body, focusing on how each system functions and how all systems interact with one another. Genetics, disease and prevention, nutrition, current issues in public health, and environmental health problems that human populations face are discussed. Note: This course counts as a natural science core but does not satisfy requirements for the biology major or minor."
BI,Biology,BI 0070,"Science, Technology, and Society",3 Credits,,,,EDCG Educational Studies Cognate,"This course analyzes the major science and technology issues that confront today's society. Through an examination of the underlying science, students gain an understanding of the impact these issues hold for the environment, our natural resources, and our society, including benefit versus hazard expectations. Course issues, which change to incorporate timely topics, include acid rain; agriculture; diseases such as AIDS, cancer, and heart disease; energy; genetic engineering; the greenhouse effect; ozone depletion; and water pollution. Note: This course counts as a natural science core but does not satisfy requirements for the biology major or minor."
BI,Biology,BI 0071,Identity and the Human Genome,3 Credits,,,,"BSCC Black Studies Component Course, BSSC Black Studies: Physical and Natural Sciences, WSGF Women, Gender, and Sexuality Studies: Gender Focused","This course introduces human genetics to the non-science major. Topics of discussion include the structure and function of genes, modes of inheritance, stem cell research, sex and gender and human genetic diversity. Special emphasis is placed on ethical, legal and social issues related to the knowledge and application of genetic information. Note: This course counts as a natural science core but does not satisfy requirements for the biology major or minor."
IT,Italian,IT 0220,Topics in Language and Culture,3 Credits,IT 0211.,,,ISIF Italian Studies: Italy-Focused,"This course improves proficiency in written and oral expression by focusing on particular topics in Italian language and culture. Students develop advanced writing and speaking skills while concentrating on grammar, style, and appropriateness. Weekly compositions, based primarily on the genres studied (short story, theater, memoir, essay) allow students to identify and correct grammatical mistakes. Students present speeches in class and conduct situational dramas such as job interviews, television reporting, courtroom trials, and debates in Italian. Films and various cultural artifacts (comic strips, proverbs, songs) familiarize students with idiomatic Italian."
IT,Italian,IT 0222,Made in Italy,3 Credits,IT 0211.,,,"ISIF Italian Studies: Italy-Focused, ISIT Italian Studies: Italian","Made in Italy, a term that indicates the uniqueness of Italy in abbigliamento (clothing), agroalimentare (food), arredamento (furniture) and automobili (automobiles), dates to the 1980s. This course seeks to further our understanding of Italian culture by investigating the reasons for the popularity and preeminence of products made in Italy. Designers have ensured Italy's prominence in the world of fashion. Pasta, prosciutto, and olive oil are synonymous with Italy, the birthplace of the Slow Food movement. Innovative design, both interior and exterior, is another hallmark of Italian excellence. Italy has produced both high performing, luxury cars and more economical modes of transportation. Conducted in Italian."
IT,Italian,IT 0233,Creative Writing,3 Credits,IT 0211.,,,"ISIF Italian Studies: Italy-Focused, ISIT Italian Studies: Italian","This course will explore the craft of fiction, touching on both its theory and practice. Students will begin by examining some masters of prose in order to discuss key elements of fiction writing (plot, character, point of view, and style). They will consider the panorama of modern and contemporary Italian fiction, from the novella to the historical novel, coming-of-age fiction to the postmodern immigrant narrative. Students will develop individual creative projects, which will be shared with their workshop classmates and revised in cooperation with the instructor."
IT,Italian,IT 0240,Language of Food in Italian Culture,3 Credits,IT 0211.,,,"ISIF Italian Studies: Italy-Focused, ISIT Italian Studies: Italian","""Dimmi ciò che mangi e ti dirò chi sei… Tell me what you eat, and I will tell you what you are."" Perhaps more than any other modern nation, Italy is defined by and celebrated for its food. Exports such as vino, pizza, and gelato, so quintessentially Italian, are now readily available across the globe. But what does food mean to Italians, and how does it reflect, magnify, and shape their collective identity? In this course, students will explore references to food and gastronomy in Italian literature, television, cinema, and art. We will investigate how Italians past and present have used food to talk about mechanisms of social belonging, disparity, and alienation. Beginning with today’s celebrity chefs and moving back to Dante and the origins of Italian literature, we will learn about the historical forces that influenced Italy’s evolving culinary traditions while honing our Italian language skills."
IT,Italian,IT 0253,Contemporary Italian Culture,3 Credits,IT 0211.,,,"ISIF Italian Studies: Italy-Focused, ISIT Italian Studies: Italian","This course examines aspects of contemporary Italian culture in the arts, film, music, media, and literature. Students analyze the debates that inform the political, social, and cultural dimensions of Italian society today. Readings include magazine and newspaper articles, print advertisements, novels, short stories, and comic books. Students view television news reports, soap operas, commercials, and movies, and listen to various types of contemporary Italian music. The course is conducted in Italian."
IL,International Studies,IL 0152,International Human Rights,3 Credits,,,,HACA Humanitarian Action Minor Context Course,"This course is devoted to an examination of basic human rights philosophy, principles, instruments and institutions. It introduces students to the origins and development of international human rights; the need to apply and enforce legal obligations and establish accountability for human rights violators; and the procedures enforced by the international community for human rights violation. Students will engage in focused discussions and debates on contemporary issues of human rights, such as Environmental Rights, Women's Rights, Rights Against Trafficking, and Economic Rights. The final part of the course includes a special focus on U.S Foreign Policies on Human Rights, concluding with Guantanamo. As part of the research requirements of the course, students will focus on human rights for which they want to be advocates and/or in which they want to be engaged."
IL,International Studies,IL 0197,United Nations Security Council Crisis Simulation,3 Credits,,,,"HACA Humanitarian Action Minor Context Course, WDIV World Diversity","This course gives students a hands-on learning experience in world diversity by simulating a United Nations Security Council crisis in international peace and security. The objective is to introduce students to the challenges of global governance in light of the different perspectives they encounter representing different constituencies of the UN Security Council who come from diverse cultural, historical, and geo-political regions of the world. A key goal of the course is to bring to light whether and how power disparities limit the global South's effective representation, and the stakes in reform of the Security Council. While the topic of the simulation will vary, the focus is on a crisis in a non-Western region of the world."
IL,International Studies,IL 0260,Historical Perspectives on Contemporary Global Crises,3 Credits,,,,"H_AF History After 1750, H_NW Non-Western History, H_US U.S. History, WDIV World Diversity","Using topical, geographic, and critical approaches, this course examines the interaction of the United States and Western Europe with the rest of the world in the 20th century, giving considerable attention to non-Western perspectives such as those of Asia, Africa, Latin America, the Arab world, Russia, and Eastern Europe. The course includes an introduction to the history of U.S. foreign relations, international organizations, social change in the developing world, and world systems theory."
IL,International Studies,IL 0280,Global Leadership for Research and Project Development,3 Credits,Junior standing.,,,HASM Humanitarian Action Minor Skills/Method Course,"The course equips students to prepare prestigious international grants and fellowship projects that will make a difference in the world. Students develop their own ethical global imagination on transformational leadership. The course covers a variety of theoretical approaches and methodologies for research and project development informed by feminist, gender, cultural competency, power, race, class, ability/disability, and critical pedagogical perspectives. The students choose the grant or fellowship that is the focus of their project, along with the particular topic (puzzle) and research question."
IL,International Studies,IL 0295,Seminar in International Studies,3 Credits,,,,,The course examines special topics in international studies. The specific topic for a given semester is announced at the time of registration. The course may be repeated with permission of the program director.
IL,International Studies,IL 0298,Internship,3 Credits,Junior or senior standing.,,,,"Students accept placements with local organizations, government agencies, or non-profit organizations in positions with an international component. Interns learn to apply knowledge acquired in their course of study to real-world situations. Completion of the internship requires regular meetings with the supervising faculty member, submission of journal entries, and one paper. Note: Students complete the internship in addition to the basic requirements for the major or minor. Arrangements for summer and international internships are also available. Students must have a GPA of 2.8 or higher."
AC,Accounting,AC 0343,Federal Income Taxation I,3 Credits,AC 0204; junior or senior standing.,,,,"This course introduces students to income tax, adjusted gross income, deductions from adjusted gross income, itemized deductions, property transactions, filing status and exemptions, passive activity losses, tax credits, and tax computations. The course also includes tax compliance and preparation considerations for individuals."
AC,Accounting,AC 0344,Individual Taxation: Socioeconomic Applications,3 Credits,"AC 0343, junior or senior standing.",,,UDIV U.S. Diversity,This course builds on the knowledge students obtained from
AC,Accounting,AC 0345,Federal Income Taxation II,3 Credits,AC 0343; junior or senior standing.,,,,This course continues the study of taxation begun in
AC,Accounting,AC 0380,Not-for-Profit Accounting,3 Credits,AC 0204; junior or senior standing.,,,,"This course examines accounting theory and concepts,and the reporting principles promulgated by the Financial Accounting Standards Board (FASB) as they relate to voluntary health and welfare organizations, healthcare organizations and universities and all types of not for profit organizations. Learning will be enhanced by a service learning experience."
AE,Applied Ethics,AE 0294,Ethics of Media and Politics,3 Credits,One course in Philosophy or Religious Studies.,,,ENEC Digital Journalism Ethics Component,"This course explores the ethical dimensions of the complex relationship between the media and the political process. The media is the only industry protected by the Bill of Rights, and for good reason: it is critical for a democracy to have well-informed citizens. The course looks at the responsibility of the media, and the difficulties of fulfillment in a capitalist society. Who needs to be informed? What is the role of the government in providing information? Students learn ethics from informed discussions, study, and writing on the cases presented."
AE,Applied Ethics,AE 0295,Ethics in Law and Society,3 Credits,One course in Philosophy or Religious Studies.,,,,"This course is an inquiry into the ethical dilemmas of making, enforcing, adjudicating, obeying and practicing the law. Topics include the nature of law and the province of jurisprudence, responsibility of the criminal bar (defense, prosecution, judicial), conflicts of interest, election or appointment of judges, the moral infrastructure of the Constitution, the limits of adjudication, and issues relating to investigative technique (torture and extreme confinement conditions)."
